DisplayName,Puntaje_promedio
mattshane,7173
B Bycroft,3765
2cBGj7vsfp,3689
Jorge E. Cardona,3362
Andrie,3109
Kaitlin Duck Sherwood,2933
user473598,2051
Ivan Baev,1971
Daniel Howard,1966
jonny five,1939
sinoohe,1926
Roni Yaniv,1891
Julie Raswick,1734
Robert Wills,1517
Kyle H,1455
user4315,1400
qyb2zm302,1298
intrepion,1293
guinaps,1252
Zunino,1199
M Perry,1159
user28409,1127
Sebastian Otto,1032
Ku Jon,995
Guillaume Dubois,992
Jake Stewart,991
albruno,948
user65374,932
Jeff Hill,915
Fawa,911
Carlo Bos,888
iMack,858
Jordan Garis,857
Cyber,849
Johnny Maelstrom,839
john garcias,834
Rémy van Duijkeren,824
user408841,821
bcasp,817
okada,811
lfx_cool,809
jomey,768
yesthatguy,730
user167628,729
sw234,722
nbeagle,712
Jarek Zmudzinski,689
Mkk,685
Datageek,685
Gidgidonihah,673
Robert23,666
mbrannig,662
Joseph Silber,643
falmp,643
George Y.,640
kdenney,636
Bhimesh Chinta,635
Mahzilla,619
mpmeyer,613
Frankomania,612
Piet Bijl,609
not-just-yeti,606
daralthus,598
Bert Hekman,593
Arec Barrwin,592
VeryNewToPython,591
user259973,589
Miša Peić,582
radoulov,574
Eggs McLaren,573
John Resig,566
Rognon,566
Guria,565
lYriCAlsSH,560
daveilers,557
Resh,545
Ken Abrams,536
blivet,524
nirg,523
cdyson37,522
lucianosousa,520
user164176,514
Alexey Vishentsev,513
aboSamoor,512
chockenberry,504
RPDP,487
spence91,487
thedjpetersen,484
quest49,481
duhhunjonn,479
gramm,472
knaser,465
tboswell,465
Tyrone Slothrop,465
jschrab,465
jshree,464
Goran Martinic,457
Alan Kay,456
Melvin Peter,446
Firose Hussain,441
Michael Gustus,440
Crazy Serb,437
mepster,431
Pepper Lebeck-Jobe,428
user25785,423
Brandon Manchester,419
dmanxiii,416
wwwxml,415
mike.toString,410
Stefan Karlsson,410
EfForEffort,409
jurka,406
netawater,402
Narcélio Filho,402
user32736,400
Carter Page,394
mpoisot,394
spencercooly,394
Alex Soto,391
Jamie Flournoy,390
Captain kurO,390
Jan Żankowski,390
TedTel,389
user8170,388
Peter B,384
kimchy,380
JD Graffam,378
Matthew Rankin,375
dau_man,375
Michael Baylon,371
Eduardo Montenegro,370
Guy Davidson,370
christopherstyles,370
Nick May,370
sircolinton,369
Steve Moseley,368
DennisJZH,368
Khon Lieu,366
Klaus Balduino,366
simonobo,364
Ilya Taranov,362
user338381,360
Murat Güzel,356
Onur Bebin,353
Norman Skinner,353
Adaromas,351
Kalle Gustafsson,348
Jim Heising,345
JQGeek,344
Joneph O.,340
marshn,340
user303110,337
john geshrick,336
Tiago Matos,335
hairbo,335
rkaganda,334
user277236,331
Tsvetomir Tsonev,330
Adam Marshall,330
user251650,329
Marco Jardim,329
user3296,329
Sudhakar R,329
elibud,328
Arve Waltin,328
MooBob42,327
Chris Allen Lane,327
Shaun Bouckaert,327
user1994764,327
Saurabh Gokhale,324
andsien,324
Michael Gundlach,323
snortasprocket,323
Anke,322
Govardhana Reddy,321
lewinski,314
RQuestions,314
Peter Elespuru,313
psytek,313
Kramish,312
muhqu,312
Evgeni Dimov,310
Carlos Quintanilla,307
Mark Janssen,304
Florian Pilz,304
Matt P.,304
Torp,303
James Boother,302
brennanyoung,302
Simbian,301
rafraf,301
Laurie Young,300
revohsalf,299
androidNewbies,296
Morgan Christiansson,296
André Aronsen,296
"Nathan Weizenbaum ",295
eulerCircuit,290
hallski,290
griflet,289
